Date,Illnesses
01/03/2012,66
01/08/2012,2
01/08/2012,5
01/08/2012,3
01/08/2012,4
01/07/2012,8
01/08/2012,5
01/07/2012,2
01/03/2012,23
01/06/2012,18
01/07/2012,66
01/06/2012,3
01/05/2012,63
01/05/2012,11
01/04/2012,18
01/08/2012,8
01/08/2012,24
01/03/2012,11
01/06/2012,48
01/06/2012,7
01/07/2012,27
01/08/2012,18
01/09/2012,4
01/07/2012,32
01/01/2012,11
01/06/2012,9
01/08/2012,22
01/09/2012,16
01/04/2011,190
01/03/2012,22
01/04/2012,37
01/06/2012,15
01/05/2012,5
01/05/2012,3
01/10/2011,60
01/08/2012,6
01/10/2011,20
01/08/2012,2
01/08/2012,4
01/05/2012,2
01/08/2012,3
01/06/2012,4
01/07/2012,2
01/03/2012,84
01/05/2012,6
01/03/2012,10
01/09/2012,4
01/09/2012,37
01/08/2012,13
01/08/2012,5
01/07/2011,10
01/09/2012,2
01/08/2011,5
01/08/2012,3
01/07/2012,5
01/09/2012,13
01/06/2012,7
01/05/2012,6
01/08/2012,2
01/08/2012,2
01/05/2012,7
01/09/2012,11
01/09/2012,14
01/09/2012,22
01/08/2012,17
01/09/2012,45
01/09/2012,25
01/08/2012,3
01/09/2012,9
01/09/2012,6
01/08/2012,2
01/08/2012,3
01/04/2012,123
01/10/2011,26
01/08/2012,2
01/07/2012,18
01/09/2012,20
01/08/2012,2
01/09/2012,2
01/09/2012,19
01/06/2011,25
01/09/2012,7
01/05/2012,13
01/09/2012,4
01/03/2012,2
01/02/2012,8
01/09/2012,16
01/09/2012,5
01/02/2012,5
01/05/2012,10
01/06/2012,10
01/04/2011,27
01/08/2011,53
01/02/2011,181
01/08/2012,6
01/04/2012,5
01/09/2012,17
01/10/2012,23
01/01/2012,7
01/09/2012,7
01/05/2012,11
01/09/2012,36
01/02/2012,21
01/10/2012,2
01/07/2012,60
01/10/2012,4
01/08/2012,16
01/09/2012,8
01/09/2012,3
01/09/2012,10
01/08/2012,6
01/09/2012,7
01/01/2012,2
01/06/2012,52
01/07/2011,2
01/08/2012,21
01/06/2012,12
01/09/2012,2
01/09/2012,2
01/10/2012,11
01/10/2012,25
01/10/2012,2
01/10/2012,14
01/10/2012,6
